marca,modelo,ano,preco_brl,categoria,conector,url
mercedes,eqs amg 53 4matic+,2023,889900.0,BEV,CCS2,https://carregados.com.br/carros/mercedes-eqs-amg-53-4matic-2023-cinza-12181km-27223
audi,sq8 e-tron,2024,548000.0,BEV,CCS2,https://carregados.com.br/carros/audi-sq8-e-tron-2024-preto-10000km-27225
byd,dolphin mini,2027,114990.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-mini-2027-azul-0km-27227
byd,dolphin,2024,132900.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-plus-2024-cinza-19000km-27108
byd,dolphin mini,2025,109900.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-mini-plus-2025-branco-18000km-27109
nissan,leaf,2023,119700.0,BEV,CHAdeMO,https://carregados.com.br/carros/nissan-leaf-s-2023-vermelho-6912km-27110
byd,dolphin,2027,121990.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-gs-2027-branco-0km-27111
jaguar,i-pace,2020,200000.0,BEV,CCS2,https://carregados.com.br/carros/jaguar-i-pace-2020-preto-44500km-27112
byd,dolphin,2027,119990.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-gs-2027-azul-2000km-27113
byd,dolphin,2025,149900.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-plus-2025-cinza-34018km-27114
byd,dolphin mini,2026,115900.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-mini-2026-preto-25995km-27116
zeekr,x,2025,229490.0,BEV,CCS2,https://carregados.com.br/carros/zeekr-x-premium-rwd-2025-branco-1080km-27118
ford,mustang mach-e,2023,315800.0,BEV,CCS2,https://carregados.com.br/carros/ford-mustang-mach-e-gt-performance-2023-branco-46442km-27121
byd,yuan pro,2025,158990.0,BEV,CCS2,https://carregados.com.br/carros/byd-yuan-pro-gs-2025-verde-34354km-27122
byd,dolphin mini,2027,129900.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-mini-2027-branco-0km-27124
byd,seal,2024,208900.0,BEV,CCS2,https://carregados.com.br/carros/byd-seal-2024-preto-41277km-27126
geely,ex2,2026,144000.0,BEV,CCS2,https://carregados.com.br/carros/geely-ex2-pro-2026-prata-0km-27127
gac,aion ut,2027,139900.0,BEV,CCS2,https://carregados.com.br/carros/gac-aion-ut-premium-2027-branco-0km-27128
geely,ex2,2026,140990.0,BEV,CCS2,https://carregados.com.br/carros/geely-ex2-max-2026-cinza-0km-27129
geely,ex2,2026,140990.0,BEV,CCS2,https://carregados.com.br/carros/geely-ex2-max-2026-verde-0km-27130
byd,dolphin mini,2026,119900.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-mini-2026-preto-42000km-27132
porsche,taycan,2023,549000.0,BEV,CCS2,https://carregados.com.br/carros/porsche-taycan-4-cross-turismo-2023-preto-31000km-27133
volvo,ec40,2026,335000.0,BEV,CCS2,https://carregados.com.br/carros/volvo-ec40-ultra-twin-motor-performance-2026-preto-880km-27134
byd,yuan plus,2025,175352.0,BEV,CCS2,https://carregados.com.br/carros/byd-yuan-plus-gl-2025-cinza-15000km-27135
byd,seal,2025,214990.0,BEV,CCS2,https://carregados.com.br/carros/byd-seal-2025-cinza-21078km-27136
byd,dolphin,2025,78900.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-gs-2025-cinza-32400km-27138
byd,dolphin mini,2027,91000.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-mini-2027-preto-345km-27140
byd,dolphin mini,2027,125900.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-mini-2027-preto-0km-27141
gwm,ora 03,2026,139900.0,BEV,CCS2,https://carregados.com.br/carros/gwm-ora-03-bev58-2026-azul-9440km-27142
byd,dolphin,2025,159900.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-plus-2025-cinza-48000km-27143
byd,dolphin,2025,125000.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-plus-2025-33000km-27144
byd,seal,2025,214990.0,BEV,CCS2,https://carregados.com.br/carros/byd-seal-2025-verde-33000km-27145
chevrolet,captiva ev,2026,199990.0,BEV,CCS2,https://carregados.com.br/carros/chevrolet-captiva-ev-premier-2026-azul-0km-27146
byd,dolphin mini,2025,104000.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-mini-plus-2025-branco-16354km-27147
byd,dolphin mini,2025,108900.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-mini-plus-2025-preto-24000km-27148
byd,dolphin,2027,149990.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-gs-2027-cinza-208km-27150
byd,dolphin,2027,129900.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-gs-2027-azul-0km-27151
gwm,ora 03,2024,121900.0,BEV,CCS2,https://carregados.com.br/carros/gwm-ora-03-skin-2024-branco-39000km-27152
toyota,rav4 prime,2019,149800.0,PHEV,Type 2,https://carregados.com.br/carros/toyota-rav4-prime-xse-2019-branco-86000km-27154
byd,dolphin mini,2026,128900.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-mini-2026-azul-0km-27156
byd,dolphin mini,2027,129990.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-mini-2027-preto-0km-27157
geely,ex2,2026,148990.0,BEV,CCS2,https://carregados.com.br/carros/geely-ex2-max-2026-verde-0km-27158
byd,yuan pro,2026,183900.0,BEV,CCS2,https://carregados.com.br/carros/byd-yuan-pro-gs-2026-preto-0km-27160
gwm,ora 03,2024,149990.0,BEV,CCS2,https://carregados.com.br/carros/gwm-ora-03-gt-2024-cinza-26860km-27159
geely,ex2,2026,148990.0,BEV,CCS2,https://carregados.com.br/carros/geely-ex2-max-2026-branco-0km-27161
geely,ex2,2026,135900.0,BEV,CCS2,https://carregados.com.br/carros/geely-ex2-pro-2026-verde-0km-27162
byd,yuan pro,2026,183900.0,BEV,CCS2,https://carregados.com.br/carros/byd-yuan-pro-gs-2026-preto-0km-27164
byd,dolphin plus,2024,154990.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-plus-2024-cinza-54420km-27163
gwm,ora 03,2024,149990.0,BEV,CCS2,https://carregados.com.br/carros/gwm-ora-03-gt-2024-cinza-35375km-27165
byd,dolphin mini,2027,124990.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-mini-2027-branco-5062km-27089
toyota,bz4x,2026,422420.0,BEV,CCS2,https://carregados.com.br/carros/toyota-bz4x-2026-cinza-0km-27091
byd,dolphin mini,2027,130900.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-mini-2027-preto-0km-27092
geely,ex2,2026,146999.0,BEV,CCS2,https://carregados.com.br/carros/geely-ex2-max-2026-branco-0km-27093
byd,dolphin mini,2025,106900.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-mini-plus-2025-preto-18534km-27096
gwm,ora 03,2024,179700.0,BEV,CCS2,https://carregados.com.br/carros/gwm-ora-03-skin-2024-azul-31000km-27100
byd,dolphin mini,2027,116990.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-mini-2027-preto-18644km-27102
byd,dolphin mini,2025,95900.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-mini-plus-2025-verde-99000km-27103
byd,dolphin,2024,118900.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-plus-2024-amarelo-47500km-27105
gwm,ora 03,2024,114890.0,BEV,CCS2,https://carregados.com.br/carros/gwm-ora-03-skin-2024-preto-61000km-27106
audi,a6 sportback e-tron,2021,259900.0,BEV,CCS2,https://carregados.com.br/carros/audi-a6-sportback-e-tron-performance-black-2021-branco-74000km-27060
byd,dolphin,2024,124900.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-plus-2024-cinza-72000km-27061
volvo,xc40 recharge,2023,185900.0,BEV,CCS2,https://carregados.com.br/carros/volvo-xc40-recharge-plus-2023-prata-50000km-27062
zeekr,x,2025,245900.0,BEV,CCS2,https://carregados.com.br/carros/zeekr-x-flagship-awd-2025-branco-35000km-27064
byd,dolphin mini,2026,109000.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-mini-2026-branco-20467km-27065
volvo,c40 recharge,2023,212900.0,BEV,CCS2,https://carregados.com.br/carros/volvo-c40-recharge-ultimate-2023-preto-41559km-27066
volvo,c40 recharge,2022,199990.0,BEV,CCS2,https://carregados.com.br/carros/volvo-c40-recharge-ultimate-2022-preto-60000km-27067
chevrolet,bolt ev,2022,149900.0,BEV,CCS2,https://carregados.com.br/carros/chevrolet-bolt-ev-premier-2022-preto-18897km-27071
